id,title,price,image,description
1,"Klenzo Deterjen Laundry Non Parfum Haji dan Umroh 5 Liter",60000,"https://images.tokopedia.net/img/cache/900/VqbcmM/2025/4/12/1244efbe-e4e2-4cca-9bc0-a45982695d08.jpg","Klenzo Deterjen Laundry Non Parfum hadir sebagai sabun cair khusus yang dirancang untuk kebutuhan ibadah..."
2,"Alkholisi Plain Detergent Sabun Haji dan Umroh 250 ml",6000,"https://images.tokopedia.net/img/cache/900/VqbcmM/2025/3/16/795831af-4242-4603-a51f-568ce3a9a630.jpg","Salah satu produk yang dirancang khusus untuk mendukung kebutuhan ini adalah Alkholisi Plain Detergent..."
3,"250 gr Klenzo Eco Enzyme Pupuk Organik & Pembersih",6000,"https://images.tokopedia.net/img/cache/900/VqbcmM/2025/1/13/01a93f21-4b07-4429-a496-151c9e3a76f0.jpg","Eco enzyme adalah cairan serbaguna yang dihasilkan dari fermentasi bahan-bahan organik..."
